lakeID,treatment,rep,incub_days,totalCH4_umol,totalCO2_umol
BA,algal,1,0,0.319543025978207,1.13422522073536
BA,algal,1,14.0833333333333,1.26507718781656,2.68352628476338
BA,algal,1,21.0625,1.47957324280336,2.84640882595653
BA,algal,1,4.0625,0.509539926153308,1.49517343101525
BA,algal,1,9.22916666666667,0.835314567366848,1.96320155024987
BA,algal,2,0,0.350815085079465,1.23396037920397
BA,algal,2,14.0833333333333,1.38035765473746,2.73291857090107
BA,algal,2,21.0625,1.70870512855637,3.19560771754696
BA,algal,2,4.0625,0.540560343850809,1.45815890328566
BA,algal,2,9.22916666666667,0.90657791665445,1.97989389147383
BA,algal,3,0,0.228063688368774,1.10653364198136
BA,algal,3,14.0833333333333,1.07828848873403,2.6780243422549
BA,algal,3,21.0625,1.41353604995406,3.05087557198101
BA,algal,3,4.0625,0.3717812218331,1.30679271406402
BA,algal,3,9.22916666666667,0.681138874994879,1.83646707410577
BA,algalBES,1,0,0.120142221230548,1.17200455145792
BA,algalBES,1,14.0833333333333,0.173443637022199,2.12880670177632
BA,algalBES,1,21.0625,0.152992374200787,2.33244467765496
BA,algalBES,1,4.0625,0.154747201866006,1.48395740576402
BA,algalBES,1,9.22916666666667,0.157933128702463,1.79869299416688
BA,algalBES,2,0,0.17557988870573,0.83647198465614
BA,algalBES,2,14.0833333333333,0.327213726311472,1.94419440519234
BA,algalBES,2,21.0625,0.281807770575338,2.01806064399968
BA,algalBES,2,4.0625,0.301986781690964,1.37779336678504
BA,algalBES,2,9.22916666666667,0.353351695507125,1.76396283441924
BA,algalBES,3,0,0.11000718428152,0.786414623871227
BA,algalBES,3,14.0833333333333,0.196899585336948,1.94913230957516
BA,algalBES,3,21.0625,0.179705215222073,2.17861884827392
BA,algalBES,3,4.0625,0.178311651713541,1.33033624257993
BA,algalBES,3,9.22916666666667,0.21583993725061,1.88777948099069
BA,BES,1,0,0.220539630395338,0.929591382721182
BA,BES,1,14.0833333333333,0.435953409726784,1.60159570613178
BA,BES,1,21.0625,0.284862748501836,1.18866961527373
BA,BES,1,4.0625,0.296553307292814,1.07013797879546
BA,BES,1,9.22916666666667,0.298095225793172,1.03279505592423
BA,BES,2,0,0.216895218533796,0.95785322276369
BA,BES,2,14.0833333333333,0.31625433843768,1.23499854360317
BA,BES,2,21.0625,0.284167848849459,1.28410326744588
BA,BES,2,4.0625,0.307597006131009,1.15635818633903
BA,BES,2,9.22916666666667,0.331740246381749,1.16294658807498
BA,BES,3,0,0.208394882932646,0.909309528996109
BA,BES,3,14.0833333333333,0.338778218266883,1.13219843440055
BA,BES,3,21.0625,0.300496319573654,1.22913363213609
BA,BES,3,4.0625,0.359914095925201,1.26884160734631
BA,BES,3,9.22916666666667,0.345949686343474,1.11378249294461
BA,control,1,0,0.1935129511088,1.05747653009095
BA,control,1,14.0833333333333,0.730611138083966,1.99252007710938
BA,control,1,21.0625,0.578932480523072,1.60696992177967
BA,control,1,4.0625,0.33488129731658,1.24997476693154
BA,control,1,9.22916666666667,0.477908303938988,1.46105058729441
BA,control,2,0,0.228728123972452,0.850233426879627
BA,control,2,14.0833333333333,0.533637871718051,1.52588444715221
BA,control,2,21.0625,0.50987638854896,1.45242758553725
BA,control,2,4.0625,0.331718626921263,1.09405895739814
BA,control,2,9.22916666666667,0.425426323683782,1.59376167079849
BA,control,3,0,0.189448527298372,0.855308015990528
BA,control,3,14.0833333333333,0.469114544713825,1.49217763426564
BA,control,3,21.0625,0.406448791693616,1.41304916109212
BA,control,3,4.0625,0.250546236996068,1.01183755412946
BA,control,3,9.22916666666667,0.356063034871301,1.27044708340931
BH,algal,1,0,0.68958946111618,1.00143893520172
BH,algal,1,10.9583333333333,2.18185126599662,1.63068681503181
BH,algal,1,19.7916666666667,4.04076908452026,2.1751603784975
BH,algal,1,24.7916666666667,4.45318537115963,2.23038349542594
BH,algal,1,4.95833333333333,1.53463438277052,1.58673233686251
BH,algal,2,0,0.554233217544291,0.895559999791155
